date,time,home_team,away_team,score,format
2024-10-0217:00,17:00,苏州KSG,西安WE,3:0,BO5
2024-10-0220:00,20:00,成都AG超玩会,上海EDG.M,3:1,BO5
2024-10-0317:00,17:00,济南RW侠,佛山DRG,3:2,BO5
2024-10-0320:00,20:00,武汉eStarPro,北京WB,2:3,BO5
2024-10-0417:00,17:00,广州TTG,杭州LGD.NBW,1:3,BO5
2024-10-0420:00,20:00,苏州KSG,长沙TES.A,3:1,BO5
2024-10-0514:00,14:00,济南RW侠,西安WE,3:0,BO5
2024-10-0517:00,17:00,重庆狼队,佛山DRG,3:2,BO5
2024-10-0520:00,20:00,成都AG超玩会,北京WB,0:3,BO5
2024-10-0614:00,14:00,广州TTG,上海EDG.M,3:1,BO5
2024-10-0617:00,17:00,武汉eStarPro,长沙TES.A,3:2,BO5
2024-10-0620:00,20:00,重庆狼队,杭州LGD.NBW,2:3,BO5
2024-10-0917:00,17:00,济南RW侠,杭州LGD.NBW,3:2,BO5
2024-10-0920:00,20:00,广州TTG,长沙TES.A,3:0,BO5
2024-10-1017:00,17:00,重庆狼队,上海EDG.M,3:2,BO5
2024-10-1020:00,20:00,济南RW侠,北京WB,3:2,BO5
2024-10-1117:00,17:00,广州TTG,佛山DRG,1:3,BO5
2024-10-1120:00,20:00,成都AG超玩会,西安WE,3:0,BO5
2024-10-1214:00,14:00,苏州KSG,杭州LGD.NBW,3:1,BO5
2024-10-1217:00,17:00,武汉eStarPro,上海EDG.M,2:3,BO5
2024-10-1220:00,20:00,重庆狼队,长沙TES.A,3:0,BO5
2024-10-1314:00,14:00,武汉eStarPro,西安WE,3:2,BO5
2024-10-1317:00,17:00,苏州KSG,北京WB,3:2,BO5
2024-10-1320:00,20:00,成都AG超玩会,佛山DRG,1:3,BO5
2024-10-1717:00,17:00,苏州KSG,上海EDG.M,1:3,BO5
2024-10-1720:00,20:00,武汉eStarPro,杭州LGD.NBW,1:3,BO5
2024-10-1817:00,17:00,济南RW侠,长沙TES.A,2:3,BO5
2024-10-1820:00,20:00,重庆狼队,北京WB,3:2,BO5
2024-10-1914:00,14:00,广州TTG,西安WE,2:3,BO5
2024-10-1917:00,17:00,苏州KSG,佛山DRG,0:3,BO5
2024-10-1920:00,20:00,成都AG超玩会,杭州LGD.NBW,3:1,BO5
2024-10-2014:00,14:00,济南RW侠,上海EDG.M,3:0,BO5
2024-10-2017:00,17:00,成都AG超玩会,长沙TES.A,3:1,BO5
2024-10-2020:00,20:00,广州TTG,北京WB,0:3,BO5
2024-10-2117:00,17:00,重庆狼队,西安WE,3:1,BO5
2024-10-2120:00,20:00,武汉eStarPro,佛山DRG,3:1,BO5
2024-10-2418:00,18:00,武汉eStarPro,长沙TES.A,4:1,BO7
2024-10-2518:00,18:00,广州TTG,上海EDG.M,0:4,BO7
2024-10-2618:00,18:00,佛山DRG,杭州LGD.NBW,0:4,BO7
2024-10-2918:00,18:00,重庆狼队,济南RW侠,4:3,BO7
2024-10-3018:00,18:00,成都AG超玩会,武汉eStarPro,4:2,BO7
2024-10-3118:00,18:00,苏州KSG,杭州LGD.NBW,4:1,BO7
2024-11-0118:00,18:00,上海EDG.M,北京WB,1:4,BO7
2024-11-0218:00,18:00,济南RW侠,杭州LGD.NBW,4:3,BO7
2024-11-0318:00,18:00,武汉eStarPro,上海EDG.M,4:0,BO7
2024-11-0418:00,18:00,重庆狼队,成都AG超玩会,3:4,BO7
2024-11-0518:00,18:00,苏州KSG,北京WB,4:1,BO7
2024-11-0618:00,18:00,济南RW侠,重庆狼队,2:4,BO7
2024-11-0718:00,18:00,武汉eStarPro,北京WB,4:0,BO7
2024-11-0818:00,18:00,重庆狼队,武汉eStarPro,4:0,BO7
2024-11-0918:00,18:00,成都AG超玩会,苏州KSG,4:1,BO5
2024-11-1018:00,18:00,重庆狼队,苏州KSG,4:3,BO7
2024-11-1617:30,17:30,成都AG超玩会,重庆狼队,4:2,BO7
